Timestamp,Protocol,Firmware,FileSize(KB),EncryptionTime(s),CPU(%),Memory(MB)
2025-04-19 21:11:35,AES-128,bulb,1024,0.07,0.10,0.10
2025-04-19 21:11:37,ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:11:40,ECDSA-SHA256,bulb,1024,0.07,0.10,0.10
2025-04-19 21:11:42,Ed25519,bulb,1024,0.07,0.10,0.10
2025-04-19 21:11:44,ECDH-ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:11:57,AES-128,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:00,ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:02,ECDSA-SHA256,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:04,Ed25519,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:06,ECDH-ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:22,AES-128,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:24,ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:26,ECDSA-SHA256,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:29,Ed25519,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:31,ECDH-ChaCha20,bulb,1024,0.07,0.10,0.10
2025-04-19 21:12:45,AES-128,lock,4096,0.24,18.70,8.28
2025-04-19 21:12:48,ChaCha20,lock,4096,0.20,21.40,8.33
2025-04-19 21:12:50,ECDSA-SHA256,lock,4096,0.08,0.10,0.10
2025-04-19 21:12:52,Ed25519,lock,4096,0.09,0.10,0.10
2025-04-19 21:12:55,ECDH-ChaCha20,lock,4096,0.23,17.80,8.43
2025-04-19 21:13:08,AES-128,lock,4096,0.24,16.60,8.21
2025-04-19 21:13:10,ChaCha20,lock,4096,0.22,20.00,8.44
2025-04-19 21:13:13,ECDSA-SHA256,lock,4096,0.08,0.10,0.10
2025-04-19 21:13:15,Ed25519,lock,4096,0.09,0.10,0.10
2025-04-19 21:13:17,ECDH-ChaCha20,lock,4096,0.22,20.00,8.36
2025-04-19 21:13:36,AES-128,lock,4096,0.20,14.20,8.14
2025-04-19 21:13:38,ChaCha20,lock,4096,0.20,20.00,8.44
2025-04-19 21:13:41,ECDSA-SHA256,lock,4096,0.08,0.10,0.10
2025-04-19 21:13:43,Ed25519,lock,4096,0.09,0.10,0.10
2025-04-19 21:13:45,ECDH-ChaCha20,lock,4096,0.23,23.50,8.48
2025-04-19 21:14:08,AES-128,camera,32768,2.58,17.60,8.29
2025-04-19 21:14:12,ChaCha20,camera,32768,2.53,21.40,8.47
2025-04-19 21:14:15,ECDSA-SHA256,camera,32768,0.17,0.10,2.15
2025-04-19 21:14:17,Ed25519,camera,32768,0.23,0.10,2.03
2025-04-19 21:14:22,ECDH-ChaCha20,camera,32768,2.56,17.60,8.41
2025-04-19 21:14:42,AES-128,camera,32768,2.59,18.70,8.32
2025-04-19 21:14:47,ChaCha20,camera,32768,2.63,18.70,8.39
2025-04-19 21:14:49,ECDSA-SHA256,camera,32768,0.16,0.10,2.12
2025-04-19 21:14:52,Ed25519,camera,32768,0.23,13.30,4.35
2025-04-19 21:14:57,ECDH-ChaCha20,camera,32768,2.46,20.00,8.56
2025-04-19 21:15:18,AES-128,camera,32768,2.51,20.00,8.26
2025-04-19 21:15:23,ChaCha20,camera,32768,2.65,18.70,8.53
2025-04-19 21:15:26,ECDSA-SHA256,camera,32768,0.17,0.10,2.05
2025-04-19 21:15:28,Ed25519,camera,32768,0.23,0.10,1.98
2025-04-19 21:15:33,ECDH-ChaCha20,camera,32768,2.48,21.40,8.45
2025-04-19 21:15:52,AES-128,hub,131072,10.30,20.00,8.44
2025-04-19 21:16:05,ChaCha20,hub,131072,10.50,20.00,8.47
2025-04-19 21:16:08,ECDSA-SHA256,hub,131072,0.87,19.20,4.11
2025-04-19 21:16:12,Ed25519,hub,131072,1.21,18.70,4.11
2025-04-19 21:16:24,ECDH-ChaCha20,hub,131072,10.70,21.40,8.30
2025-04-19 21:16:51,AES-128,hub,131072,10.55,20.00,8.03
2025-04-19 21:17:04,ChaCha20,hub,131072,10.35,20.00,8.46
2025-04-19 21:17:07,ECDSA-SHA256,hub,131072,0.89,21.40,4.14
2025-04-19 21:17:10,Ed25519,hub,131072,1.17,22.20,4.07
2025-04-19 21:17:23,ECDH-ChaCha20,hub,131072,10.55,23.00,8.44
2025-04-19 21:17:52,AES-128,hub,131072,10.60,20.00,8.14
2025-04-19 21:18:05,ChaCha20,hub,131072,10.39,23.00,8.56
2025-04-19 21:18:08,ECDSA-SHA256,hub,131072,0.91,20.00,4.23
2025-04-19 21:18:12,Ed25519,hub,131072,1.20,21.40,4.23
2025-04-19 21:18:25,ECDH-ChaCha20,hub,131072,10.69,28.50,8.36
