Timestamp,Firmware,FileSize(KB),SenderIP,VerificationResult,DecryptionTime(s),TotalTime(s),CPU(%),Memory(MB),RejectionReason
19/04/2025 20:21,aes-128_bulb.enc,1025,192.168.1.14,PASS,0.15,0.92,1,1,
19/04/2025 20:23,aes-128_bulb.enc,1025,192.168.1.14,PASS,0.15,0.91,1,1,
19/04/2025 20:23,aes-128_bulb.enc,1025,192.168.1.14,PASS,0.15,0.88,1,1,
19/04/2025 20:24,chacha20_bulb.enc,1025,192.168.1.14,PASS,0.16,0.89,1,1,
19/04/2025 20:25,chacha20_bulb.enc,1025,192.168.1.14,PASS,0.16,0.82,1,1,
19/04/2025 20:25,chacha20_bulb.enc,1025,192.168.1.14,PASS,0.17,0.89,1,1,
19/04/2025 20:30,ecdsa_bulb.enc,1024,192.168.1.14,PASS,0.02,0.95,1,1,
19/04/2025 20:31,ecdsa_bulb.enc,1024,192.168.1.14,PASS,0.02,0.72,1,1,
19/04/2025 20:31,ecdsa_bulb.enc,1024,192.168.1.14,PASS,0.02,1.05,1,1,
19/04/2025 20:32,ed25519_bulb.enc,1024,192.168.1.14,PASS,0.02,0.92,1,1,
19/04/2025 20:32,ed25519_bulb.enc,1024,192.168.1.14,PASS,0.02,1.06,1,1,
19/04/2025 20:33,ed25519_bulb.enc,1024,192.168.1.14,PASS,0.02,0.96,1,1,
19/04/2025 20:34,ecdh_bulb.enc,1025,192.168.1.14,PASS,0.17,0.9,1,1,
19/04/2025 20:35,ecdh_bulb.enc,1025,192.168.1.14,PASS,0.16,1.14,1,1,
19/04/2025 20:35,ecdh_bulb.enc,1025,192.168.1.14,PASS,0.16,1.1,1,1,
19/04/2025 20:36,aes-128_lock.enc,4097,192.168.1.14,PASS,0.36,3.37,8.3,8.09,
19/04/2025 20:36,aes-128_lock.enc,4097,192.168.1.14,PASS,0.36,3.24,7.6,8.23,
19/04/2025 20:37,aes-128_lock.enc,4097,192.168.1.14,PASS,0.35,3.68,7.6,8.1,
19/04/2025 20:38,chacha20_lock.enc,4097,192.168.1.14,PASS,0.36,3.64,7.6,8.1,
19/04/2025 20:38,chacha20_lock.enc,4097,192.168.1.14,PASS,0.37,3.36,7.6,8.23,
19/04/2025 20:38,chacha20_lock.enc,4097,192.168.1.14,PASS,0.35,3.34,8.3,8.1,
19/04/2025 21:11,ecdsa_lock.enc,4096,192.168.1.14,PASS,0.05,3.46,1,1,
19/04/2025 21:11,ecdsa_lock.enc,4096,192.168.1.14,PASS,0.05,3.41,1,1,
19/04/2025 21:11,ecdsa_lock.enc,4096,192.168.1.14,PASS,0.05,3.29,1,1,
19/04/2025 21:12,ed25519_lock.enc,4096,192.168.1.14,PASS,0.05,3.81,1,1,
19/04/2025 21:12,ed25519_lock.enc,4096,192.168.1.14,PASS,0.05,3.44,1,1,
19/04/2025 21:12,ed25519_lock.enc,4096,192.168.1.14,PASS,0.05,3.39,1,1,
19/04/2025 21:13,ecdh_lock.enc,4097,192.168.1.14,PASS,0.36,3.66,7.6,8.23,
19/04/2025 21:13,ecdh_lock.enc,4097,192.168.1.14,PASS,0.36,3.53,8.3,8.23,
19/04/2025 21:13,ecdh_lock.enc,4097,192.168.1.14,PASS,0.36,3.8,7.6,8.11,
19/04/2025 21:14,aes-128_camera.enc,32769,192.168.1.14,PASS,2.6,28.12,9.3,8.11,
19/04/2025 21:15,aes-128_camera.enc,32769,192.168.1.14,PASS,2.6,28.07,9,8.23,
19/04/2025 21:16,aes-128_camera.enc,32769,192.168.1.14,PASS,2.57,28.77,9.3,8.11,
19/04/2025 21:17,chacha20_camera.enc,32769,192.168.1.14,PASS,2.58,26.92,9.8,8.11,
19/04/2025 21:18,chacha20_camera.enc,32769,192.168.1.14,PASS,2.58,28.55,10.1,7.98,
19/04/2025 21:18,chacha20_camera.enc,32769,192.168.1.14,PASS,2.57,25.17,9.6,8.23,
19/04/2025 21:20,ecdsa_camera.enc,32768,192.168.1.14,PASS,0.23,25.18,7.6,4.23,
19/04/2025 21:20,ecdsa_camera.enc,32768,192.168.1.14,PASS,0.24,26.11,7.1,4.23,
19/04/2025 21:21,ecdsa_camera.enc,32768,192.168.1.14,PASS,0.24,24.53,7.6,4.23,
19/04/2025 21:22,ed25519_camera.enc,32768,192.168.1.14,PASS,0.23,21.46,7.6,4.23,
19/04/2025 21:22,ed25519_camera.enc,32768,192.168.1.14,PASS,0.24,23.43,7.6,4.23,
19/04/2025 21:23,ed25519_camera.enc,32768,192.168.1.14,PASS,0.28,25.97,7.6,4.23,
19/04/2025 21:24,ecdh_camera.enc,32769,192.168.1.14,PASS,2.6,29.72,9.6,8.23,
19/04/2025 21:25,ecdh_camera.enc,32769,192.168.1.14,PASS,2.63,30.09,9.8,8.11,
19/04/2025 21:25,ecdh_camera.enc,32769,192.168.1.14,PASS,2.61,29.7,15.3,8.23,
19/04/2025 21:29,aes-128_hub.enc,131073,192.168.1.14,PASS,10.27,117.99,9.1,8.1,
19/04/2025 21:31,aes-128_hub.enc,131073,192.168.1.14,PASS,10.3,118.02,9.3,8.1,
19/04/2025 21:33,aes-128_hub.enc,131073,192.168.1.14,PASS,10.34,120.29,9.1,8.23,
19/04/2025 21:36,chacha20_hub.enc,131073,192.168.1.14,PASS,10.38,115.13,10,8.11,
19/04/2025 21:39,chacha20_hub.enc,131073,192.168.1.14,PASS,10.37,113.99,9.8,8.09,
19/04/2025 21:41,chacha20_hub.enc,131073,192.168.1.14,PASS,10.25,107.34,9.8,8.24,
19/04/2025 21:43,ecdsa_hub.enc,131072,192.168.1.14,PASS,0.74,105.86,13.2,4.24,
19/04/2025 21:45,ecdsa_hub.enc,131072,192.168.1.14,PASS,0.72,130.33,11.5,4.24,
19/04/2025 21:48,ecdsa_hub.enc,131072,192.168.1.14,PASS,0.72,132.61,13.4,4.24,
19/04/2025 21:53,ed25519_hub.enc,131072,192.168.1.14,PASS,0.73,147.91,13.4,4.24,
19/04/2025 21:55,ed25519_hub.enc,131072,192.168.1.14,PASS,0.73,146.15,13.4,4.24,
19/04/2025 21:58,ed25519_hub.enc,131072,192.168.1.14,PASS,0.72,149.35,13.2,4.24,
19/04/2025 22:01,ecdh_hub.enc,131073,192.168.1.14,PASS,10.38,157.7,15.3,8.24,
19/04/2025 22:04,ecdh_hub.enc,131073,192.168.1.14,PASS,10.28,150.65,15.3,8.12,
19/04/2025 22:07,ecdh_hub.enc,131073,192.168.1.14,PASS,10.31,156.4,16.6,8.24,
20/04/2025 15:10,aes-128_lock.enc,4097,192.168.1.14,PASS,0.38,3.36,7.1,7.97,
20/04/2025 15:16,chacha20_lock.enc,4097,192.168.1.14,PASS,0.48,4.93,7.1,8.1,
20/04/2025 15:18,chacha20_lock.enc,4097,192.168.1.14,PASS,0.36,4.06,7.1,8.11,
20/04/2025 15:40,aes-128_lock.enc,4097,192.168.1.14,PASS,0.36,6.93,0,8.22,
20/04/2025 15:40,chacha20_lock.enc,4097,192.168.1.14,PASS,0.36,6.52,7.6,8.23,
20/04/2025 15:41,ecdsa_lock.enc,4096,192.168.1.14,PASS,0.05,6.81,1,1,
20/04/2025 15:41,ed25519_lock.enc,4096,192.168.1.14,PASS,0.05,6.33,1,1,
20/04/2025 15:53,aes-128_firmware_v1.enc,0,192.168.1.16,REJECT,0,0,0,0,TIMESTAMP_UNAVAILABLE
20/04/2025 15:53,chacha20_firmware_v1.enc,0,192.168.1.16,REJECT,0,0,0,0,TIMESTAMP_UNAVAILABLE
20/04/2025 15:55,ecdsa_firmware_v1.enc,0,192.168.1.16,REJECT,0,0,0,0,TIMESTAMP_UNAVAILABLE
20/04/2025 15:57,ed25519_firmware_v1.enc,0,192.168.1.16,REJECT,0,0,0,0,TIMESTAMP_UNAVAILABLE
20/04/2025 15:58,ecdh_firmware_v1.enc,0,192.168.1.16,REJECT,0,0,0,0,TIMESTAMP_UNAVAILABLE
20/04/2025 16:34,aes-128_camera_modified.enc,32769,192.168.1.16,PASS,2.62,24.04,8.9,8.33,
20/04/2025 16:36,chacha20_camera_modified.enc,32769,192.168.1.16,PASS,2.6,20.68,9.8,8.33,
20/04/2025 16:38,ecdsa_camera_modified.enc,32769,192.168.1.16,FAIL,0,0,0,0,INVALID_SIGNATURE
20/04/2025 16:40,ed25519_camera_modified.enc,32769,192.168.1.16,FAIL,0,0,0,0,INVALID_SIGNATURE
20/04/2025 16:42,ecdh_camera_modified.enc,32769,192.168.1.16,FAIL,0,0,0,0,INVALID_SIGNATURE
